code_insee,Code_postal,Departement
53077,53230,Mayenne
53078,53200,Mayenne
53079,53300,Mayenne
53079,53300,Mayenne
53080,53250,Mayenne
53082,53230,Mayenne
53083,53700,Mayenne
53084,53400,Mayenne
53085,53700,Mayenne
53086,53380,Mayenne
53087,53170,Mayenne
53088,53540,Mayenne
53089,53200,Mayenne
53090,53400,Mayenne
53091,53190,Mayenne
53093,53190,Mayenne
53094,53260,Mayenne
53096,53500,Mayenne
53097,53150,Mayenne
53097,53600,Mayenne
53097,53600,Mayenne
53098,53350,Mayenne
53099,53260,Mayenne
53100,53190,Mayenne
53101,53200,Mayenne
53102,53540,Mayenne
53103,53940,Mayenne
53103,53940,Mayenne
53104,53200,Mayenne
53104,53200,Mayenne
53105,53150,Mayenne
53106,53370,Mayenne
53107,53120,Mayenne
53108,53410,Mayenne
53109,53440,Mayenne
53110,53290,Mayenne
53111,53300,Mayenne
53112,53250,Mayenne
53113,53160,Mayenne
53114,53640,Mayenne
53115,53120,Mayenne
53116,53640,Mayenne
53117,53360,Mayenne
53118,53110,Mayenne
53118,53110,Mayenne
53119,53970,Mayenne
53120,53160,Mayenne
53121,53250,Mayenne
53121,53250,Mayenne
53122,53160,Mayenne
53123,53380,Mayenne
53124,53200,Mayenne
53124,53200,Mayenne
53125,53190,Mayenne
53126,53220,Mayenne
53127,53110,Mayenne
53127,53110,Mayenne
53127,53110,Mayenne
53127,53110,Mayenne
53128,53540,Mayenne
53129,53410,Mayenne
53130,53000,Mayenne
53131,53120,Mayenne
53132,53120,Mayenne
53133,53140,Mayenne
53133,53140,Mayenne
53134,53150,Mayenne
53135,53400,Mayenne
53136,53200,Mayenne
53136,53360,Mayenne
53137,53320,Mayenne
53137,53320,Mayenne
53139,53700,Mayenne
53140,53950,Mayenne
53141,53210,Mayenne
53142,53250,Mayenne
53143,53170,Mayenne
53144,53440,Mayenne
53145,53200,Mayenne
53146,53470,Mayenne
53147,53100,Mayenne
53148,53400,Mayenne
53150,53200,Mayenne
53151,53230,Mayenne
53152,53170,Mayenne
53153,53600,Mayenne
53154,53220,Mayenne
53155,53500,Mayenne
53156,53240,Mayenne
53157,53970,Mayenne
53158,53320,Mayenne
53160,53640,Mayenne
53160,53640,Mayenne
53161,53150,Mayenne
53161,53150,Mayenne
53161,53150,Mayenne
53161,53150,Mayenne
53161,53150,Mayenne
53162,53100,Mayenne
53163,53150,Mayenne
53164,53250,Mayenne
53165,53400,Mayenne
53168,53970,Mayenne
53169,53410,Mayenne
53170,53300,Mayenne
53172,53360,Mayenne
53173,53140,Mayenne
53174,53100,Mayenne
53175,53260,Mayenne
53176,53300,Mayenne
53177,53220,Mayenne
53178,53360,Mayenne
53179,53240,Mayenne
53180,53400,Mayenne
53181,53220,Mayenne
53182,53410,Mayenne
53184,53340,Mayenne
53185,53140,Mayenne
53185,53140,Mayenne
53186,53360,Mayenne
53186,53360,Mayenne
53187,53370,Mayenne
53188,53800,Mayenne
53189,53110,Mayenne
53190,53640,Mayenne
53191,53350,Mayenne
53192,53390,Mayenne
53193,53170,Mayenne
53195,53470,Mayenne
53196,53250,Mayenne
53197,53390,Mayenne
53198,53700,Mayenne
53199,53120,Mayenne
53200,53100,Mayenne
53201,53940,Mayenne
53202,53220,Mayenne
53203,53290,Mayenne
53204,53140,Mayenne
53206,53170,Mayenne
53208,53140,Mayenne
53209,53320,Mayenne
53210,53290,Mayenne
53211,53500,Mayenne
53212,53170,Mayenne
53213,53220,Mayenne
53214,53390,Mayenne
53216,53300,Mayenne
53218,53600,Mayenne
53219,53100,Mayenne
53219,53100,Mayenne
53220,53480,Mayenne
53221,53600,Mayenne
53222,53240,Mayenne
53223,53700,Mayenne
53224,53240,Mayenne
53225,53240,Mayenne
53226,53380,Mayenne
53228,53270,Mayenne
53228,53270,Mayenne
53229,53240,Mayenne
53230,53110,Mayenne
53232,53480,Mayenne
53233,53290,Mayenne
53234,53300,Mayenne
53235,53110,Mayenne
53236,53700,Mayenne
53237,53300,Mayenne
53238,53220,Mayenne
53240,53800,Mayenne
53242,53350,Mayenne
53243,53410,Mayenne
53245,53500,Mayenne
53246,53370,Mayenne
53247,53410,Mayenne
53248,53270,Mayenne
53249,53160,Mayenne
53249,53160,Mayenne
53249,53160,Mayenne
53250,53540,Mayenne
53251,53400,Mayenne
53253,53800,Mayenne
53255,53270,Mayenne
53255,53270,Mayenne
53256,53160,Mayenne
53257,53340,Mayenne
53258,53800,Mayenne
53259,53390,Mayenne
53260,53360,Mayenne
53261,53300,Mayenne
53262,53210,Mayenne
53262,53210,Mayenne
53263,53110,Mayenne
53264,53270,Mayenne
53265,53270,Mayenne
53265,53270,Mayenne
53266,53160,Mayenne
53267,53480,Mayenne
53269,53500,Mayenne
53270,53120,Mayenne
53271,53700,Mayenne
53272,53250,Mayenne
53273,53170,Mayenne
53276,53600,Mayenne
72001,72650,Sarthe
72002,72600,Sarthe
72003,72700,Sarthe
72004,72540,Sarthe
72005,72610,Sarthe
72006,72610,Sarthe
72007,72370,Sarthe
72008,72230,Sarthe
72009,72270,Sarthe
72010,72430,Sarthe
72011,72130,Sarthe
72012,72170,Sarthe
72013,72800,Sarthe
72015,72600,Sarthe
72016,72300,Sarthe
72017,72540,Sarthe
72018,72260,Sarthe
72019,72350,Sarthe
72020,72400,Sarthe
72021,72430,Sarthe
72022,72200,Sarthe
72023,72290,Sarthe
72023,72290,Sarthe
72024,72650,Sarthe
72025,72200,Sarthe
