ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Verneil-le-Chétif,1558,1148,2074,1294,518,2581,10.8,7.6,19.2,9,6,11.4,1426,833,2327.5,9.9,6.8,15.3,8.32,8.35,8.33,0.3897,72369,72360,Sarthe,"Verneil-le-Chétif, Sarthe, France",0.263,-5.33,
Vernie,2508,1440,3460,1142,558,2181,10.1,8.6,11.6,9.7,6.5,12.2,1825,999,2820.5,9.9,7.55,11.9,4.83,10.19,6.51,0.3758,72370,72170,Sarthe,"Vernie, Sarthe, France",0.228,0,
Vezot,1578,1004,2226,1183,473,2362,11.7,7.9,19.2,10.1,7.4,13.4,1380.5,738.5,2294,10.9,7.65,16.3,8.90,10.25,9.47,0.3528,72372,72600,Sarthe,"Vezot, Sarthe, France",0.202,2.67,
Vibraye,2080,1182,4161,1353,541,2346,9.2,5.7,13.4,9.1,6.2,11.7,1716.5,861.5,3253.5,9.15,5.95,12.55,5.31,8.07,6.40,0.4349,72373,72320,Sarthe,"Vibraye, Sarthe, France",0.331,-2.64,
Villaines-la-Carelle,1200,684,2351,1233,527,2466,9.2,5.7,14.2,9.4,6.7,14.2,1216.5,605.5,2408.5,9.3,6.2,14.2,9.20,9.15,9.17,0.3799,72374,72600,Sarthe,"Villaines-la-Carelle, Sarthe, France",0.151,-11.61,
Villaines-la-Gonais,1576,968,2286,1524,756,2675,9.7,7.2,15.8,9.1,7,12.8,1550,862,2480.5,9.4,7.1,14.3,7.39,7.17,7.28,0.3116,72375,72400,Sarthe,"Villaines-la-Gonais, Sarthe, France",0.292,-7.51,
Villaines-sous-Lucé,1544,1047,2166,1351,540,2629,10.7,8.1,13.5,10.2,7.1,13,1447.5,793.5,2397.5,10.45,7.6,13.25,8.32,9.06,8.66,0.4143,72376,72150,Sarthe,"Villaines-sous-Lucé, Sarthe, France",0.271,-7.79,
Villaines-sous-Malicorne,1898,1015,2240,1453,581,2646,9.6,6.6,15.2,9.5,6.3,11.8,1675.5,798,2443,9.55,6.45,13.5,6.07,7.85,6.84,0.4503,72377,72270,Sarthe,"Villaines-sous-Malicorne, Sarthe, France",0.37,0.58,
Vion,1888,1003,2296,1573,629,2386,10.9,7.5,18.6,9.2,6.6,12.6,1730.5,816,2341,10.05,7.05,15.6,6.93,7.02,6.97,0.4292,72378,72300,Sarthe,"Vion, Sarthe, France",0.358,-3.82,
Viré-en-Champagne,1933,1119,2934,1102,441,2204,10.2,8.4,12.2,8.9,6,11.6,1517.5,780,2569,9.55,7.2,11.9,6.33,9.69,7.55,0.3807,72379,72350,Sarthe,"Viré-en-Champagne, Sarthe, France",0.182,0.5,
Vivoin,1235,742,2294,1350,540,2488,8.9,6.7,10.2,8.9,7.4,13.1,1292.5,641,2391,8.9,7.05,11.65,8.65,7.91,8.26,0.3772,72380,72170,Sarthe,"Vivoin, Sarthe, France",0.299,-5.37,
Voivres-lès-le-Mans,1579,1199,2027,1799,834,2756,11.3,7.9,14.7,11.2,8.9,15.6,1689,1016.5,2391.5,11.25,8.4,15.15,8.59,7.47,7.99,0.4408,72381,72210,Sarthe,"Voivres-lès-le-Mans, Sarthe, France",0.365,-2.03,
Val-de-la-Hune,1546,1055,2163,1198,497,2396,11.2,7.8,15.9,9.2,6.6,11.6,1372,776,2279.5,10.2,7.2,13.75,8.69,9.22,8.92,0.4588,72382,72440,Sarthe,"Val-de-la-Hune, Sarthe, France",0.365,2.97,
Vouvray-sur-Huisne,2457,1432,3634,1437,645,2617,13.8,10.1,17.6,11.5,8.8,14.6,1947,1038.5,3125.5,12.65,9.45,16.1,6.74,9.60,7.80,0.3102,72383,72160,Sarthe,"Vouvray-sur-Huisne, Sarthe, France",0.215,5.65,
Yvré-le-Pôlin,1605,1187,2071,1515,653,2679,10.2,7.1,18.4,9.4,6.2,11.7,1560,920,2375,9.8,6.65,15.05,7.63,7.45,7.54,0.3945,72385,72330,Sarthe,"Yvré-le-Pôlin, Sarthe, France",0.367,-1.64,
Yvré-l'Évêque,2461,1425,3652,2067,850,3163,12.2,8.7,18.5,12.4,10,15.4,2264,1137.5,3407.5,12.3,9.35,16.95,5.95,7.20,6.52,0.4863,72386,72530,Sarthe,"Yvré-l'Évêque, Sarthe, France",0.388,-1.57,
L'Aiguillon-la-Presqu'île,2770,1372,4012,3267,1352,5153,11.6,7.7,20.8,11.1,8,15.7,3018.5,1362,4582.5,11.35,7.85,18.25,5.03,4.08,4.51,0.3596,85001,85460,Vendée,"L'Aiguillon-la-Presqu'île, Vendée, France",0.307,1.78,
